% Model:              H_CFD_particle_traicing_test.mph
% Version:            COMSOL 5.5.0.359
% Date:               Dec 8 2025, 10:40
% Dimension:          1
% Nodes:              53
% Expressions:        1
% Description:        Global
% x                       Height
0.01                      0
0.012589254117941675      0
0.015848931924611134      0
0.0199526231496888        0
0.025118864315095794      0
0.03162277660168379       0
0.039810717055349734      0
0.05011872336272725       0
0.06309573444801933       0
0.07943282347242814       0
0.1                       0
0.12589254117941676       0
0.15848931924611143       0
0.19952623149688797       0
0.25118864315095807       0
0.31622776601683794       0
0.3981071705534973        0
0.5011872336272725        0
0.6309573444801934        0
0.7943282347242817        0
1                         0
1.2589254117941675        0
1.584893192461114         0
1.9952623149688808        0
2.5118864315095824        0
3.1622776601683795        0
3.981071705534973         0
5.011872336272725         0
6.309573444801936         0
7.943282347242821         0
10                        0
12.589254117941675        0
15.848931924611142        0
19.952623149688808        0
25.11886431509582         0
31.622776601683793        0
39.810717055349734        0
50.11872336272725         0
63.095734448019364        0
79.43282347242821         0
100                       0
125.89254117941688        0
158.48931924611142        0
199.52623149688787        0
251.18864315095823        0
316.22776601683796        0
398.1071705534977         3
501.18723362727246        22
630.9573444801943         22
794.3282347242822         23
1000                      23
1258.9254117941687        23
1584.893192461114         23
